date,likes,user,location,text
2022-06-18 00:29:15+00:00,2,manguebicha,manguetown,eu rodo rodo rodo mas sempre volto pra o perfume nuvem da o boticário pô não tem pra onde ele é oficialmente o meu cheirinho
2022-06-18 00:25:06+00:00,6,prrkezia,Brasil,"Fico pra morrer como algumas vendedoras da O Boticário se acham as DONAS e proprietárias do grupo o boticário
Por isso que não me sinto nem um pingo a vontade de ir nas lojas 🤦🏽‍♀️"
2022-06-18 00:18:41+00:00,0,AnaLuiz85493710,,"Fui na loja da Boticário , e queria todos os produtos 🥹😂."
2022-06-18 00:03:55+00:00,0,caterinacitou,(she/her) 17/10/2022 M&M,"Tô postando aqui pra avisar aos fãs da Lila qur querem comprar o perfume dela da o boticário que a embalagem vai mudar apartir do ciclo 10, estão no ciclo 9 então quem quiser comprar com a embalagem original compra logo pq a embalagem nova é horrível https://t.co/T883kr2fL4"
2022-06-17 23:57:12+00:00,0,Andr3izes,Vacaria,"Por isso que eu vou começar a investir nos perfumes da Elizabeth Taylor, da Lanvin, coisas que são maravilhosas mas não são tão conhecidas. Acho uma merda ser uma pessoa básica. Não tenho nada contra perfumaria nacional, mas vou nas marcas mais nichadas tbm, nada de Boticário. https://t.co/gRxb6LJQS8"
2022-06-17 23:44:14+00:00,1,EllenWilaine,"Formosa, Brasil","Comprei um creme que é a imitação do de ameixa do o Boticário, muito bom menos de 10 reais"
2022-06-17 23:44:00+00:00,1,firetolidos,,@anaoliviaam O boticário exagerado
2022-06-17 23:14:32+00:00,1,AnaHeloisafeli1,,"Nada melhor do que tomar um banho e ficar cheirosa🫰
Esse creme do @boticario  Deleite é o melhor🥰"
2022-06-17 23:11:10+00:00,0,rfdecarvalho,,@tbaghdadi Anúncio do Boticário do dia dos namorados
2022-06-17 23:08:18+00:00,1,borgesmacedosim,Brazil,@TerraBrasilnot Falta agora a Boticário e a Natura.
2022-06-17 23:07:54+00:00,0,lightsjiin,,"App da Boticário está com várias promoções e todas com frete grátis e meu cartão tem 1,00 de limite 😭😭😭😭"
2022-06-17 22:48:13+00:00,0,CricapiresPires,"São Paulo, Brasil",@byancabastos Procurando tb. Um que eu usava do Boticário saiu de linha
2022-06-17 22:44:26+00:00,0,yokurts,,alguem me indica perfume doce/floral (mas chique) com fixação boa da boticario?
2022-06-17 22:37:03+00:00,0,KellerGabriel8,,"@dhebinhahh É mentira gente, podem ir lá no Boticário comprar sem medo"
2022-06-17 22:10:19+00:00,0,AiresKaillany,"Orlândia, Brasil","quero gastar meu salário na o boticário dnv, mas tô com 3 perfumes de lá cheio 😔"
2022-06-17 22:06:32+00:00,0,usbieb,,minha mãe comprou esse creme novo da boticário e eu achei bem enjoativo 😞
2022-06-17 21:56:48+00:00,1,_gabriel_borel,,@ohfuckthais Pensei a mesma coisa eu com meus natura e boticário
